Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos018,Uncompressed,25,2,1101.568,255,255,255,144.935,0.659,280899.95,100,217515,1.808,0.553,0.887
Rep1,Pos018,Uncompressed,25,3,665.074,255,255,255,101.429,0.812,169593.756,100,131325,1.54,0.649,0.912
Rep1,Pos018,Uncompressed,25,4,451.992,255,255,255,79.091,0.908,115257.893,100,89250,1.061,0.942,0.932
Rep1,Pos018,Uncompressed,25,5,390.004,255,255,255,73.214,0.914,99451.096,100,77010,1.101,0.908,0.939
Rep1,Pos018,Uncompressed,25,6,814.877,255,255,255,142.938,0.501,207793.515,100,160905,2.036,0.491,0.814
Rep1,Pos018,Uncompressed,30,1,795.505,255,255,255,120.99,0.683,202853.891,100,157080,2.103,0.475,0.871
Rep1,Pos018,Uncompressed,30,2,661.199,255,255,255,100.098,0.829,168605.832,100,130560,1.551,0.645,0.937
Rep1,Pos018,Uncompressed,30,3,413.25,255,255,255,74.935,0.925,105378.645,100,81600,1.137,0.88,0.948
Rep1,Pos018,Uncompressed,30,4,436.495,255,255,255,80.698,0.842,111306.194,100,86190,1.006,0.994,0.911
Rep1,Pos018,Uncompressed,30,5,495.9,255,255,255,85.52,0.852,126454.374,100,97920,1.476,0.677,0.919
Rep1,Pos018,Uncompressed,30,6,711.564,255,255,255,103.864,0.829,181448.854,100,140505,1.305,0.766,0.918
Rep1,Pos018,Uncompressed,35,1,697.359,255,255,255,99.708,0.881,177826.463,100,137700,1.179,0.848,0.926
Rep1,Pos018,Uncompressed,35,2,575.967,255,255,255,96.884,0.771,146871.486,100,113730,1.82,0.549,0.895
Rep1,Pos018,Uncompressed,35,3,484.277,255,255,255,84.578,0.851,123490.599,100,95625,1.327,0.753,0.925
Rep1,Pos018,Uncompressed,35,4,485.568,255,255,255,83.247,0.88,123819.908,100,95880,1.36,0.735,0.935
Rep1,Pos018,Uncompressed,35,5,419.707,255,255,255,77.208,0.885,107025.186,100,82875,1.022,0.978,0.937
Rep1,Pos018,Uncompressed,35,6,517.853,255,255,255,83.912,0.924,132052.614,100,102255,1.196,0.836,0.947
Rep1,Pos018,Uncompressed,35,7,712.856,255,255,255,116.673,0.658,181778.162,100,140760,2.149,0.465,0.878
Rep1,Pos018,Uncompressed,40,1,646.994,255,255,255,93.669,0.927,164983.441,100,127755,1.276,0.784,0.957
Rep1,Pos018,Uncompressed,40,2,671.531,255,255,255,98.491,0.87,171240.298,100,132600,1.213,0.824,0.929
Rep1,Pos018,Uncompressed,40,3,411.958,255,255,255,75.877,0.899,105049.336,100,81345,1.398,0.715,0.944
Rep1,Pos018,Uncompressed,40,4,588.881,255,255,255,95.276,0.815,150164.569,100,116280,1.433,0.698,0.928
Rep1,Pos018,Uncompressed,40,5,632.788,255,255,255,101.039,0.779,161361.05,100,124950,1.442,0.694,0.915
Rep1,Pos018,Uncompressed,45,1,663.782,255,255,255,95.942,0.906,169264.448,100,131070,1.276,0.783,0.95
Rep1,Pos018,Uncompressed,45,2,622.457,255,255,255,95.942,0.85,158726.584,100,122910,1.155,0.866,0.937
Rep1,Pos018,Uncompressed,45,3,508.814,255,255,255,88.734,0.812,129747.456,100,100470,1.695,0.59,0.914
Rep1,Pos018,Uncompressed,45,4,470.071,255,255,255,81.088,0.898,119868.208,100,92820,1.204,0.83,0.944
Rep1,Pos018,Uncompressed,45,5,711.564,255,255,255,106.64,0.786,181448.854,100,140505,1.328,0.753,0.897
Rep1,Pos024,Compressed,1,1,1219.086,255,255,255,136.9,0.817,310867.002,100,240720,1.217,0.821,0.934
Rep1,Pos024,Compressed,1,2,1172.596,255,255,255,130.357,0.867,299011.904,100,231540,1.518,0.659,0.951
Rep1,Pos024,Compressed,1,3,799.38,255,255,255,111.462,0.809,203841.816,100,157845,1.416,0.706,0.92
Rep1,Pos024,Compressed,1,4,832.956,255,255,255,113.345,0.815,212403.831,100,164475,1.413,0.708,0.908
Rep1,Pos024,Compressed,1,5,2476.915,255,255,255,434.806,0.165,631613.252,100,489090,1.826,0.548,0.492
Rep1,Pos024,Compressed,1,6,1397.3,255,255,255,182.679,0.526,356311.543,100,275910,2.435,0.411,0.824
Rep1,Pos024,Compressed,1,7,1186.801,255,255,255,145.991,0.7,302634.295,100,234345,2.015,0.496,0.886
Rep1,Pos024,Compressed,1,8,2023.632,255,255,255,271.137,0.346,516026.051,100,399585,3.374,0.296,0.677
Rep1,Pos024,Compressed,1,9,1835.086,255,255,255,192.436,0.623,467947.044,100,362355,1.394,0.717,0.832
Rep1,Pos024,Compressed,1,10,1523.858,255,255,255,213.832,0.419,388583.752,100,300900,3.317,0.301,0.733
